Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won
Mercury,Friend Club 7,HK Squash Centre (HKSC),1,13/10/2017,3-2,"['0-3', '3-1', '1-3', '3-0', '3-0']",3,2,10,7
KYS 1,Relay 1,Harbour Road (HRSC),1,13/10/2017,1-4,"['0-3', '1-3', '0-3', '0-3', '3-0']",1,4,4,12
Real Neo-Active Club,Twister 2,Java Road (JRSC),1,13/10/2017,3-2,"['3-1', '0-3', '3-2', '2-3', '3-0']",3,2,11,9
i-MASK Advance Squash Club 9,Star River 3,Cornwall Street (CSPSC),1,13/10/2017,3-2,"['3-1', '3-1', '3-0', '0-3', '0-3']",3,2,9,8
Real Neo-Active Club,Relay 1,Java Road (JRSC),2,20/10/2017,2-3,"['3-0', '1-3', '0-3', '3-0', '0-3']",2,3,7,9
Star River 3,Twister 2,Pei Ho Street (PHSSC),2,20/10/2017,1-4,"['0-3', '0-3', '2-3', '0-3', '3-0']",1,4,5,12
KYS 1,Friend Club 7,Harbour Road (HRSC),2,20/10/2017,3-2,"['3-0', '0-3', '3-0', '2-3', '3-0']",3,2,11,6
i-MASK Advance Squash Club 9,Mercury,Cornwall Street (CSPSC),2,20/10/2017,3-2,"['2-3', '3-1', '3-0', '3-1', '0-3']",3,2,11,8
Mercury,Star River 3,HK Squash Centre (HKSC),3,27/10/2017,2-3,"['3-1', '0-3', '0-3', '3-1', '2-3']",2,3,8,11
KYS 1,i-MASK Advance Squash Club 9,Harbour Road (HRSC),3,27/10/2017,2-3,"['0-3', '0-3', '1-3', '3-0', '3-0']",2,3,7,9
Real Neo-Active Club,Friend Club 7,Java Road (JRSC),3,27/10/2017,4-1,"['3-1', '1-3', '3-0', '3-1', '3-0']",4,1,13,5
Twister 2,Relay 1,Cornwall Street (CSPSC),3,27/10/2017,5-0,"['3-1', '3-1', '3-0', '3-0', '3-0']",5,0,15,2
Friend Club 7,Twister 2,Cornwall Street (CSPSC),4,03/11/2017,0-5,"['2-3', '0-3', '0-3', '0-3', '0-3']",0,5,2,15
Relay 1,Star River 3,Yau Oi (YOSC),4,03/11/2017,2-3,"['3-1', '3-2', '0-3', '0-3', '0-3']",2,3,6,12
Mercury,KYS 1,HK Squash Centre (HKSC),4,03/11/2017,4-1,"['0-3', '3-0', '3-0', '3-0', '3-0']",4,1,12,3
Real Neo-Active Club,i-MASK Advance Squash Club 9,Java Road (JRSC),4,03/11/2017,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0
