Team,Played,Won,Lost,Points
i-Mask Advance Squash Club 6,18,13,5,72
Invader Squash,18,12,6,67
7NT,18,11,7,63
Hong Kong Cricket Club 6,18,10,8,59
Winter Warriors,18,8,10,51
Star River 2,18,7,11,43
Sha Tin Squash Rackets Club Team 5,18,2,16,23
