Team,Played,Won,Lost,Points
Sergio Tacchini KCC 8,18,14,4,75
Global 1,18,12,6,70
Physical Chess Squash Club Academy 2,18,13,5,66
Sha Tin Squash Rackets Club Team 2,18,12,6,64
Hong Kong Football Club 8A,18,8,10,57
TSC,18,8,10,53
Hong Kong Football Club 8B,18,8,10,48
Hong Kong Cricket Club 3,18,8,10,47
Twister 1,18,6,12,41
Friend Club 2,18,1,17,18
