Team,Played,Won,Lost,Points
Hong Kong Cricket Club Rockettes,20,17,3,79
Hong Kong Football Club L3A,20,13,7,57
Hong Kong Football Club L3B,20,11,9,56
Hong Kong Football Club L3C,20,8,12,44
Smashin' Mochi,20,8,12,44
Friend Club Ladies,20,3,17,19
