Team,Played,Won,Lost,Points
Sergio Tacchini KCC 4,21,20,1,102
Happy Squash 1,21,17,4,95
Friend Club 1,21,15,6,82
Hong Kong Football Club 4A,21,12,9,73
The New Generation X,21,8,13,55
Hong Kong Football Club 4B,21,6,15,44
United Services Recreation Club 1,21,1,20,22
TNG 1,21,5,16,15
