Team,Played,Won,Lost,Points
Howard's Folly Wine LRC Master 1,16,13,3,55
Hong Kong Cricket Club M1B,16,12,4,54
Hong Kong Football Club M1A,16,7,9,42
Hong Kong Cricket Club M1A,16,6,10,30
Hong Kong Football Club M1B,16,2,14,19
