Team,Played,Won,Lost,Points
Hong Kong Football Club L2A,16,14,2,50
Hong Kong Cricket Club L2A,16,12,4,46
Hong Kong Football Club L2B,16,5,11,24
Hong Kong Cricket Club L2B,16,4,12,20
Hong Kong Football Club L2C,16,5,11,19
