Team,Played,Won,Lost,Points
Hong Kong Football Club M3A,21,16,5,94
United Services Recreation Club M3,21,16,5,84
Hong Kong Cricket Club M3,21,15,6,73
Hong Kong Football Club M3B,21,13,8,72
Jaws Master,21,11,10,70
Howard's Folly Wine LRC Master 3,21,9,12,60
American Club - Yacht Club,21,4,17,33
Titlows Squash Team,21,0,21,15
