Team,Played,Won,Lost,Points
Hong Kong Football Club 1,16,11,5,38
Sergio Tacchini KCC 1,16,8,8,34
Young Player 1B,16,9,7,33
Young Player 1A,16,6,10,28
FWD 1,16,6,10,26
