Team,Played,Won,Lost,Points
Sha Tin Squash Rackets Club Team 3,18,16,2,83
Squashathon Zero,18,14,4,80
Fusion Squash Club 2,18,14,4,72
Hong Kong Cricket Club 5,18,10,8,60
Smart Squash 1,18,11,7,58
Kinetic 1,18,8,10,54
TNG 3,18,7,11,45
YLJR 2,18,4,14,32
Friend Club 6,18,5,13,12
EdUHK,18,1,17,6
