Team,Played,Won,Lost,Points
Sergio Tacchini KCC M4,18,14,4,76
Phoenix,18,13,5,74
Hong Kong Football Club M4,18,12,6,66
United Services Recreation Club M4,18,8,10,59
Hong Kong Cricket Club M4,18,8,10,49
Bolton,18,7,11,43
Hong Kong Club Blue,18,1,17,6
