Team,Played,Won,Lost,Points
Hong Kong Football Club M2B,2,2,0,8
Hong Kong Cricket Club M2B,2,1,1,6
Hong Kong Football Club M2A,2,1,1,5
Ladies Recreation Club M2B,2,1,1,5
Hong Kong Cricket Club M2A,2,1,1,4
Ladies Recreation Club M2A,2,0,2,2
