Team,Played,Won,Lost,Points
Hong Kong Football Club 7A,2,2,0,9
Vitality Squash 1,2,2,0,8
The Best Group 1,2,1,1,6
UST,2,1,1,6
Hong Kong Cricket Club 5,1,0,1,2
Kinetic 1,1,0,1,2
X-Alpha 3,2,0,2,2
