Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Dynamos Squash,2,2,0,12,10,0
Fusion Squash Club 1,2,2,0,10,8,2
NEXUS 3,2,1,1,6,5,5
X-Alpha 4,2,1,1,6,5,5
Happy Squash 3,2,1,1,5,4,6
MERCURY,2,1,1,4,3,7
Vitality Squash 2,2,0,2,4,4,6
LONGVIEW,2,0,2,1,1,9
