Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Kowloon Cricket Club 1A,4,4,0,14,10,2,0,0,0,0
Hong Kong Cricket Club 1,4,4,0,12,8,4,0,0,0,0
Hong Kong Football Club 1A,4,2,2,8,6,6,0,0,0,0
Hong Kong Football Club 1B,4,1,3,6,5,7,0,0,0,0
FWD,4,1,3,6,5,7,0,0,0,0
Kowloon Cricket Club 1B,4,0,4,2,2,10,0,0,0,0
