Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Electrify Squash Div 13,4,4,0,23,19,1,0,1,0,0
Sha Tin 6,4,4,0,22,18,2,0,6,0,0
X-Alpha 5,4,3,1,15,12,8,0,1,0,0
Fusion Squash Club 2,4,3,1,14,11,9,0,0,0,0
i-Mask Advance Squash Club 5,4,2,2,13,11,9,0,7,0,0
Energy Squash Club 1,4,2,2,12,10,10,2,2,0,0
SocGen Squash,4,1,3,12,11,9,2,0,0,0
Yuen Long District Sports Association Limited,4,1,3,7,6,14,0,3,0,0
Kinetic 4,4,1,3,7,6,14,0,1,0,0
HKIS Div 13,4,1,3,7,6,14,10,0,0,0
Energy Squash Club 2,4,1,3,7,6,14,7,0,0,0
Happy Squash 4,4,1,3,5,4,16,0,0,0,0
