Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
South China Athletic Association,4,4,0,20,16,4,0,3,0,0
Winter Warriors,4,3,1,18,15,5,3,0,0,0
Alpha CUHK,4,3,1,17,14,6,0,1,0,0
Star River 2,4,4,0,16,12,8,0,6,0,0
North District Sports Association 1,4,3,1,16,13,7,0,2,0,0
Hong Kong Football Club 12A,4,3,1,16,13,7,0,0,0,0
Sea Bear,4,1,3,11,10,10,0,0,0,0
ZOMA,4,1,3,9,8,12,0,0,0,0
Hong Kong Racketlon Assoication 2,4,1,3,9,8,12,0,0,0,1
CSD Squash Team,4,1,3,6,6,14,7,0,1,0
Latecomers,4,0,4,3,3,17,2,0,0,0
Hong Kong Football Club 12B,4,0,4,2,2,18,0,0,0,0
