Team,Played,Won,Lost,Points
Friend Club Master,20,17,3,95
Hong Kong Football Club M2A,20,16,4,88
GLOMA,20,13,7,67
Hong Kong Football Club M2B,20,7,13,53
Hong Kong Cricket Club M2,20,7,13,49
Titlows Master,20,0,20,7
