Team,Played,Won,Lost,Points
Hong Kong Football Club 7,21,19,2,102
GS 2,21,16,5,84
Everlast 1,21,11,10,69
Spirit 2,21,14,7,68
WSC NOSET,21,10,11,54
i-MASK Advance Squash Club 4,21,8,13,54
Neptune,21,5,16,38
HKU 2,21,1,20,5
