Team,Played,Won,Lost,Points
The Hong Kong Jockey Club Master 3,21,18,3,96
Perrier KCC M3,21,16,5,86
Hong Kong Football Club M3A,21,13,8,81
Sovereign Group LRC Master 3,21,14,7,71
American Club,21,8,13,50
Hong Kong Football Club M3B,21,6,15,43
Alpha CUHK Master,21,4,17,43
Hong Kong Cricket Club M3,21,5,16,32
