Team,Played,Won,Lost,Points
Yuen Long Jr 2,18,17,1,95
The Zero Squash Club 3,18,15,3,83
Phresh 3,18,10,8,58
Kinetic 4,18,7,11,52
Police 2,18,6,12,35
i-MASK Advance Squash Club 9,18,3,15,25
Friend Club 6,18,5,13,17
