Team,Played,Won,Lost,Points
Perrier KCC L1A,15,14,1,51
Team Daphne,15,11,4,40
Young Player L1,15,10,5,39
Perrier KCC L1B,15,6,9,27
Hong Kong Football Club L1,15,2,13,12
Hong Kong Cricket L1,15,2,13,5
