Team,Played,Won,Lost,Points
Perrier KCC 6,20,17,3,87
Global 1,20,14,6,76
Police 1,20,13,7,73
Hong Kong Football Club 8A,20,6,14,46
The Squash Club 1,20,5,15,41
Hong Kong Cricket Club 3,20,5,15,36
