Team,Played,Won,Lost,Points
Spirit 4,18,15,3,74
Friend Club 9,18,13,5,73
Head Shatin 7,18,9,9,59
KYS 2,18,10,8,52
Hong Kong Cricket Club 8,18,6,12,38
Global 3,18,5,13,38
MoveOnLoL,18,5,13,11
