Team,Played,Won,Lost,Points
HKCC Wednesday Night Rockers,20,18,2,98
Craigergower Cricket Club,20,13,7,76
Mad Hatters,20,13,7,74
Latecomers,19,6,13,31
CSD,20,3,17,19
United Services Recreation Club 6,19,6,13,-4
