Team,Played,Won,Lost,Points
KYS 1,16,14,2,76
i-MASK Advance Squash Club 12,16,11,5,68
Dragonfly,16,13,3,64
Head Shatin 6,16,11,5,62
South Kwai Chung Squash Club 2,16,7,9,44
Citra Squash Team,16,7,9,37
Novice,16,6,10,37
Fung King 3,16,3,13,27
Friend Club 8,16,0,16,6
