Team,Played,Won,Lost,Points
Hong Kong Football Club 2B,20,17,3,89
Perrier KCC 2A,20,12,8,70
Young Player 4,20,13,7,67
Hong Kong Football Club 2A,20,10,10,59
FWD-USRC,20,5,15,42
Perrier KCC 2B,20,3,17,28
