Team,Played,Won,Lost,Points
Hong Kong Cricket Club L2B,18,15,3,72
Perrier KCC L2,18,16,2,70
Hong Kong Football Club L2A,18,11,7,49
Hong Kong Cricket Club L2A,18,8,10,45
Hong Kong Football Club L2C,18,8,10,38
Hong Kong Football Club L2B,18,5,13,30
Polladies,18,0,18,-29
