Team,Played,Won,Lost,Points
Royal Hong Kong Yacht Club M1,21,17,4,78
Hong Kong Cricket Club M1,21,16,5,71
HK Club Gold,21,14,7,68
Hong Kong Football Club M1A,21,12,9,50
Sovereign Group LRC Master 1,21,8,13,50
CWB M1,21,6,15,39
Discovery Bay Masters,21,7,14,24
Hong Kong Football Club M1B,21,4,17,21
