Team,Most Games,Most Wins,Highest Win Percentage
Hong Kong Cricket Club M2,Janes Gareth (14),"Caveney Barry John, Denham Paul (10)","Caveney Barry John, Denham Paul (76.9%)"
Hong Kong Football Club M2A,Wei Stephen J. (16),Li Samuel Kwok Sing (12),Yeung Tak Keung (100.0%)
Hong Kong Football Club M2B,Lulla Vikram (14),"Mulchand Rajesh, Lulla Vikram (8)",Mulchand Rajesh (66.7%)
Hong Kong Football Club M2C,Gates Stuart (15),Derouet Yann (11),Derouet Yann (91.7%)
Ladies Recreation Club M2,Adjemian Nicolas (14),Richard Lee Jacob William (9),Richard Lee Jacob William (69.2%)
Old Squash Fellows,Leung Dick Kan Fai (14),Leung Dick Kan Fai (13),Leung Dick Kan Fai (92.9%)
Royal Hong Kong Yacht Club M2,Cheng Victor Kwok Wai (13),Cheng Victor Kwok Wai (9),Jones Robert F. (87.5%)
Titlows Squash Team,"Au Ming Chung Sampson, Lo Wai Kiu Bobby, Yung Kai Sing (16)",Yung Kai Sing (3),Yung Kai Sing (18.8%)
United Services Recreation Club M2,Bidal Jay (15),"Chow Ming Hei Quincy, Lai Kwok Wai Wilfred (9)",Chow Ming Hei Quincy (90.0%)
