Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Kowloon Cricket Club 1A,9,8,1,27,20,7
Hong Kong Cricket Club 1,9,7,2,23,16,11
Hong Kong Football Club 1A,9,6,3,22,16,11
FWD,9,3,6,16,13,14
Hong Kong Football Club 1B,9,2,7,11,9,18
Kowloon Cricket Club 1B,9,1,8,8,7,20
