Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
JESSICA L4,8,8,0,30,22,2
Hong Kong Cricket Club L4,8,7,1,24,17,7
Hong Kong Football Club JSA,7,5,2,21,16,5
Hong Kong Football Club L4,8,3,5,14,11,13
JESSICA Smashin' Mochi,8,2,6,9,7,17
Electrify Squash Ladies,8,1,7,6,5,19
i-Mask Advance Squash Club L4,7,1,6,3,3,18
