Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
JESSICA L1,8,5,3,20,15,9
Kowloon Cricket Club L1B,7,5,2,18,13,8
Kowloon Cricket Club L1A,7,4,3,17,13,8
Hong Kong Football Club L1,7,4,3,14,10,11
Hong Kong Cricket Club L1,7,0,7,3,3,18
