Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
X-Alpha 2,17,15,2,81,66,19,0,4,0,1
Hong Kong Football Club 5A,17,15,2,79,64,21,0,1,0,1
Physical Chess 1,17,13,4,67,54,31,0,4,0,0
Hong Kong Racketlon Association 1,17,8,9,51,43,42,0,0,0,0
Happy Squash 2,17,8,9,47,40,45,5,3,1,0
The Squash Club 1,17,6,11,45,39,46,0,1,0,0
Hong Kong Football Club 5B,17,6,11,43,37,48,7,2,0,0
Uncle,17,7,10,41,36,49,0,2,0,1
Squashathon,17,6,11,38,34,51,0,2,2,0
i-Mask Advance Squash Club 1,17,1,16,13,12,73,10,3,0,0
