Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
TNG 1,16,15,1,77,64,16,0,13,0,0
Royal Hong Kong Yacht Club Div 13,17,13,4,69,56,29,0,9,0,0
Greenfield,17,11,6,65,54,31,0,10,0,0
TNG 2,16,13,3,64,54,26,4,5,1,0
North District Sports Association 2,17,9,8,53,44,41,0,3,0,0
Squashathon PLZ,17,7,10,51,44,41,0,4,0,0
Arctic Circle,16,8,8,50,42,38,5,3,0,0
Bravo D13,17,6,11,41,35,49,9,7,0,0
Vitality Squash 3,17,7,10,36,29,55,21,2,0,1
M&M Squash,16,5,11,30,27,53,3,0,1,0
Physical Chess 4,17,3,14,28,26,59,18,4,0,0
Star River 3,17,3,14,27,24,61,0,0,0,1
