Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won
Studio Pro,Xavier,HK Squash Centre,1,07/10/2022,0-5,"['2-3', '1-3', '1-3', '0-3', '0-3']",0,5,4,15
RELAY,Greenfield,Pei Ho Street Sports Centre,1,07/10/2022,2-3,"['2-3', '2-3', '0-3', '3-0', '3-0']",2,3,10,9
MERCURY,Friend Club 5,HK Squash Centre,1,07/10/2022,1-4,"['1-3', '3-1', '1-3', '0-3', '1-3']",1,4,6,13
HKU,i-Mask Advance Squash Club 3,Cornwall Street Squash Centre,1,07/10/2022,4-1,"['3-0', '3-0', '3-2', '0-3', '3-1']",4,1,12,6
Friend Club 5,HKU,Cornwall Street Squash Centre,2,14/10/2022,2-3,"['0-3', '3-2', '2-3', '1-3', '3-0']",2,3,9,11
Greenfield,MERCURY,Tai Wo Hau Squash Centre,2,14/10/2022,4-1,"['3-0', '3-0', '3-1', '1-3', '3-2']",4,1,13,6
Xavier,RELAY,Cornwall Street Squash Centre,2,14/10/2022,3-2,"['3-0', '1-3', '3-0', '3-0', '2-3']",3,2,12,6
TOMCAT,Studio Pro,Cornwall Street Squash Centre,2,14/10/2022,2-3,"['3-0', '3-0', '0-3', '0-3', '1-3']",2,3,7,9
RELAY,TOMCAT,Cornwall Street Squash Centre,3,21/10/2022,2-3,"['0-3', '0-3', '3-1', '1-3', 'CR']",2,3,4,13
MERCURY,Xavier,HK Squash Centre,3,21/10/2022,1-4,"['0-3', '1-3', '0-3', '2-3', '3-0']",1,4,6,12
Greenfield,HKU,Tai Wo Hau Squash Centre,3,21/10/2022,2-3,"['3-0', '2-3', '1-3', '2-3', '3-0']",2,3,11,9
i-Mask Advance Squash Club 3,Friend Club 5,Pei Ho Street Sports Centre,3,21/10/2022,3-2,"['0-3', '3-0', '3-1', '3-0', 'CR']",3,2,12,4
Greenfield,i-Mask Advance Squash Club 3,Tai Wo Hau Squash Centre,4,28/10/2022,2-3,"['3-0', '1-3', '0-3', '0-3', '3-0']",2,3,7,9
Xavier,HKU,Cornwall Street Squash Centre,4,28/10/2022,5-0,"['3-1', '3-0', '3-1', '3-2', '3-1']",5,0,15,5
TOMCAT,MERCURY,Pei Ho Street Sports Centre,4,28/10/2022,2-3,"['3-0', '3-0', '0-3', '0-3', 'CR']",2,3,6,9
RELAY,Studio Pro,Cornwall Street Squash Centre,4,28/10/2022,2-3,"['1-3', '3-1', '3-0', '0-3', '0-3']",2,3,7,10
MERCURY,Studio Pro,HK Squash Centre,5,04/11/2022,2-3,"['2-3', '0-3', '3-0', '3-1', '2-3']",2,3,10,10
TOMCAT,HKU,Cornwall Street Squash Centre,5,04/11/2022,4-1,"['3-1', '3-0', '3-0', '0-3', '3-0']",4,1,12,4
i-Mask Advance Squash Club 3,Xavier,Pei Ho Street Sports Centre,5,04/11/2022,2-3,"['0-3', '2-3', '3-0', '3-0', '0-3']",2,3,8,9
