Team,Played,Won,Lost,Points,Playoffs,1,2,3,4,5,6,7,8,9,10,11
BOSS,20,11.7987987987988,8.2012012012012,67.78478478478479,75.97597597597597,30.53053053053053,21.92192192192192,16.116116116116117,7.4074074074074066,7.5075075075075075,4.904904904904905,4.404404404404405,2.6026026026026026,2.6026026026026026,1.8018018018018018,0.20020020020020018
Sha Tin 5,20,11.98998998998999,8.01001001001001,66.92792792792793,72.77277277277277,29.629629629629626,19.01901901901902,13.413413413413414,10.71071071071071,9.20920920920921,5.605605605605605,4.004004004004004,4.2042042042042045,2.7027027027027026,0.8008008008008007,0.7007007007007007
Kinetic 3,20,11.695695695695695,8.304304304304305,63.767767767767765,57.457457457457465,13.013013013013014,16.516516516516518,15.415415415415415,12.512512512512513,11.511511511511511,10.01001001001001,7.907907907907907,5.305305305305305,3.6036036036036037,3.003003003003003,1.2012012012012012
The Squash Club 3,20,9.65965965965966,10.34034034034034,61.551551551551555,44.24424424424425,8.108108108108109,10.11011011011011,12.112112112112113,13.913913913913914,10.71071071071071,10.41041041041041,8.208208208208207,8.408408408408409,7.107107107107106,6.806806806806807,4.1041041041041035
Global Squash 2,20,10.48948948948949,9.51051051051051,60.952952952952955,40.54054054054054,8.008008008008009,8.408408408408409,11.811811811811811,12.312312312312311,12.012012012012011,10.91091091091091,10.91091091091091,7.707707707707708,8.108108108108109,5.405405405405405,4.404404404404405
7NT,20,9.797797797797799,10.202202202202201,59.43943943943944,28.62862862862863,3.6036036036036037,6.606606606606606,7.4074074074074066,11.01101101101101,11.411411411411411,13.713713713713712,12.912912912912914,9.90990990990991,9.40940940940941,7.4074074074074066,6.606606606606606
Star River 1,20,9.436436436436436,10.563563563563564,58.566566566566564,26.226226226226228,3.303303303303303,6.006006006006006,8.008008008008009,8.90890890890891,10.91091091091091,11.11111111111111,10.21021021021021,12.812812812812812,11.01101101101101,9.50950950950951,8.208208208208207
i-Mask Advance Squash Club 4,20,8.59059059059059,11.40940940940941,56.47947947947948,16.216216216216218,1.9019019019019021,3.7037037037037033,4.004004004004004,6.606606606606606,7.4074074074074066,9.90990990990991,12.112112112112113,11.21121121121121,12.512512512512513,16.016016016016017,14.614614614614615
Invader Squash,20,9.207207207207206,10.792792792792794,55.687687687687685,15.015015015015015,0.6006006006006006,3.203203203203203,5.7057057057057055,5.505505505505505,6.306306306306306,9.40940940940941,12.312312312312311,12.812812812812812,13.913913913913914,15.115115115115115,15.115115115115115
Hong Kong Cricket Club 7,20,8.392392392392392,11.607607607607608,54.82382382382382,12.712712712712712,0.6006006006006006,2.6026026026026026,3.203203203203203,6.306306306306306,7.307307307307307,6.506506506506507,9.30930930930931,12.912912912912914,13.413413413413414,15.715715715715717,22.12212212212212
Tuen Mun Squash Club,20,8.941941941941941,11.058058058058059,54.01801801801802,10.21021021021021,0.7007007007007007,1.9019019019019021,2.8028028028028027,4.804804804804805,5.7057057057057055,7.5075075075075075,7.707707707707708,12.112112112112113,15.615615615615615,18.41841841841842,22.722722722722725
