Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Kowloon Cricket Club L1A,6,4,2,16,12,6
JESSICA L1,6,4,2,16,12,6
Kowloon Cricket Club L1B,6,4,2,14,10,8
Hong Kong Football Club L1,5,2,3,8,6,9
Hong Kong Cricket Club L1,5,0,5,2,2,13
