Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc,Total Rubbers
TNG 2,100.0,100.0,100.0,33.33333333333333,100.0,86.66666666666666,14
TNG 1,100.0,50.0,100.0,50.0,50.0,70.0,10
Arctic Circle,100.0,50.0,50.0,60.0,80.0,68.0,28
Royal Hong Kong Yacht Club Div 13,55.55555555555556,55.55555555555556,50.0,75.0,85.71428571428571,64.36507936507937,41
North District Sports Association 2,28.57142857142857,42.857142857142854,28.57142857142857,85.71428571428571,75.0,52.14285714285713,32
Squashathon PLZ,100.0,50.0,50.0,25.0,25.0,50.0,20
Physical Chess 4,33.33333333333333,0.0,50.0,50.0,100.0,46.666666666666664,10
Greenfield,0.0,66.66666666666666,66.66666666666666,66.66666666666666,33.33333333333333,46.666666666666664,15
Vitality Squash 3,28.57142857142857,14.285714285714285,50.0,33.33333333333333,100.0,45.23809523809524,25
Bravo D13,100.0,40.0,0.0,0.0,33.33333333333333,34.666666666666664,22
M&M Squash,28.57142857142857,14.285714285714285,28.57142857142857,42.857142857142854,42.857142857142854,31.428571428571427,35
Star River 3,66.66666666666666,33.33333333333333,0.0,33.33333333333333,0.0,26.666666666666664,29
