Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Alpha CUHK,2,2,0,11,9,1,0,1,0,0
South China Athletic Association,2,2,0,11,9,1,0,2,0,0
North District Sports Association 1,2,2,0,9,7,3,0,0,0,0
Star River 2,2,2,0,8,6,4,0,3,0,0
Winter Warriors,2,1,1,8,7,3,3,0,0,0
Hong Kong Football Club 12A,2,1,1,7,6,4,0,0,0,0
ZOMA,2,1,1,6,5,5,0,0,0,0
Sea Bear,2,0,2,4,4,6,0,0,0,0
CSD Squash Team,2,1,1,3,3,7,2,0,1,0
Hong Kong Racketlon Assoication 2,2,0,2,3,3,7,0,0,0,1
Latecomers,2,0,2,1,1,9,1,0,0,0
Hong Kong Football Club 12B,2,0,2,0,0,10,0,0,0,0
