Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
North District Sports Association 2,9,8,1,42,34,11,0,6,0,0
Royal Hong Kong Yacht Club Div 14,9,7,2,42,35,10,0,0,0,0
The Squash Club 4,9,6,3,37,31,14,0,5,0,1
Physical Chess 5,9,6,3,34,28,17,0,0,0,0
8 Virtues + 1,9,5,4,30,26,19,3,1,1,5
TKO Junior 1,9,5,4,28,23,22,0,0,0,0
RELAY 2,9,4,5,25,21,24,0,9,0,0
Hong Kong Football Club 14,9,4,5,24,20,25,8,0,0,0
TNG 3,9,4,5,17,19,26,1,0,4,0
Squash-On,9,3,6,17,14,31,7,0,0,0
Ladies Recreation Club Div 14,9,2,7,16,15,30,3,0,1,1
Fusion Squash Club 4,9,0,9,3,4,41,0,1,1,0
