Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Hong Kong Football Club M4A,9,7,2,37,30,15,0,0,0,0
WAKO,9,6,3,34,28,17,0,0,0,0
SKCSC M4,9,6,3,33,27,18,0,0,0,0
Hong Kong Football Club M4B,9,6,3,33,27,18,0,0,0,0
Kowloon Cricket Club M4,9,5,4,30,25,20,0,0,0,0
Hong Kong Cricket Club M4,9,5,4,28,23,22,0,0,0,0
United Services Recreation Club M4,9,2,7,23,21,24,0,0,0,0
Hong Kong Club Blue,9,3,6,20,17,28,0,0,0,0
Royal Hong Kong Yacht Club M4,9,3,6,16,13,32,0,0,0,0
Bolton,9,2,7,16,14,31,0,0,0,0
