Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Kowloon Cricket Club 6B,9,9,0,47,38,7,0,3,0,0
Hong Kong Football Club 6A,9,6,3,33,27,18,0,4,0,0
Uncles,9,6,3,32,26,19,0,0,0,0
Ladies Recreation Club Div 6,9,6,3,30,24,21,0,4,0,0
Kowloon Cricket Club 6A,9,5,4,29,24,21,2,1,0,0
Hong Kong Football Club 6C,9,5,4,27,22,23,0,1,0,0
Hong Kong Football Club 6B,9,4,5,26,22,23,0,0,0,0
Fusion Squash Club 1,9,4,5,24,20,25,10,0,0,0
Global Squash 1,9,2,7,20,18,27,0,0,0,0
Electrify Squash Div 6,9,3,6,18,18,27,4,3,3,0
Hong Kong Cricket Club D6,9,2,7,18,16,29,0,0,0,0
X-Alpha 3,9,2,7,17,15,30,0,0,0,3
