Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Sha Tin 4,9,9,0,52,43,2,0,1,0,0
RELAY 1,8,7,1,37,30,10,0,0,0,0
Thunder 2,8,6,2,31,25,15,0,1,0,0
Hong Kong Cricket Club D10,8,5,3,28,23,17,0,1,0,0
United Services Recreation Club 3,9,4,5,25,21,24,0,0,0,0
Kwai Tsing District Squash Club,8,4,4,25,21,19,0,0,0,0
Banbil,8,4,4,24,20,20,1,0,0,0
Squashathon Advance,8,3,5,17,14,26,0,0,0,0
i-Mask Advance Squash Club 4,8,2,6,14,12,28,1,0,0,0
Mercury,8,1,7,13,12,28,0,0,0,0
Bravo D10,8,0,8,4,4,36,1,0,0,0
