Team Name,Home,Average Home Score,Average Away Score,home_away_diff
Squashathon PLZ,Cornwall Street Squash Centre,5.0,3.0,2.0
Star River 3,Cornwall Street Squash Centre,2.0,1.0,1.0
TNG 2,Cornwall Street Squash Centre,4.0,3.0,1.0
North District Sports Association 2,Cornwall Street Squash Centre,2.5,2.3333333333333335,0.16666666666666652
Physical Chess 4,Cornwall Street Squash Centre,1.0,1.6666666666666667,-0.6666666666666667
Royal Hong Kong Yacht Club Div 13,Royal Hong Kong Yacht Club,3.25,4.0,-0.75
Arctic Circle,Cornwall Street Squash Centre,2.6666666666666665,3.6666666666666665,-1.0
Greenfield,Cornwall Street Squash Centre,3.0,4.0,-1.0
Vitality Squash 3,HK Squash Centre,1.0,2.0,-1.0
M&M Squash,Cornwall Street Squash Centre,1.25,2.3333333333333335,-1.0833333333333335
Bravo D13,Cornwall Street Squash Centre,1.75,3.0,-1.25
TNG 1,Cornwall Street Squash Centre,0.0,3.0,-3.0
