Team Name,Home,Average Home Score,Average Away Score,home_away_diff
Royal Hong Kong Yacht Club Div 13,Royal Hong Kong Yacht Club,3.2,0.0,3.2
Bravo D13,Cornwall Street Squash Centre,2.0,0.0,2.0
Star River 3,Cornwall Street Squash Centre,3.0,1.5,1.5
Physical Chess 4,Cornwall Street Squash Centre,2.0,2.0,0.0
M&M Squash,Cornwall Street Squash Centre,1.3333333333333333,2.0,-0.6666666666666667
Arctic Circle,Cornwall Street Squash Centre,3.0,4.0,-1.0
Vitality Squash 3,HK Squash Centre,1.75,3.0,-1.25
North District Sports Association 2,Cornwall Street Squash Centre,1.0,3.0,-2.0
Squashathon PLZ,Cornwall Street Squash Centre,0.0,2.6666666666666665,-2.6666666666666665
TNG 2,Cornwall Street Squash Centre,0.0,3.0,-3.0
Greenfield,Cornwall Street Squash Centre,0.0,3.5,-3.5
