Home Team,vs,Away Team,Venue,Time,Result,Match Week,Date
Perrier Ladies,v,Hong Kong Cricket Club Rockettes,HK Squash Centre,19:00,"0-4(0-3,0-3,0-3,0-3)",1,08/10/2021
Hong Kong Football Club L3C,v,Friend Club Ladies,Hong Kong Football Club,19:00,"1-3(3-1,0-3,0-3,0-3)",1,08/10/2021
Hong Kong Football Club L3A,v,Hong Kong Football Club L3B,Hong Kong Football Club,19:00,"3-1(3-0,3-0,3-0,0-3)",1,08/10/2021
Hong Kong Football Club L3A,v,Hong Kong Football Club L3C,Hong Kong Football Club,19:00,"4-0(3-0,3-0,3-0,3-0)",2,15/10/2021
Friend Club Ladies,v,Perrier Ladies,HK Squash Centre,19:00,"4-0(3-0,3-2,3-1,3-0)",2,15/10/2021
Hong Kong Football Club L3B,v,Hong Kong Cricket Club Rockettes,Hong Kong Football Club,19:00,"1-3(3-0,1-3,0-3,0-3)",2,15/10/2021
Hong Kong Cricket Club Rockettes,v,Friend Club Ladies,Hong Kong Cricket Club,19:00,"4-0(3-0,3-1,3-0,CR)",3,22/10/2021
Perrier Ladies,v,Hong Kong Football Club L3A,HK Squash Centre,19:00,"2-2(0-3,3-0,2-3,CR)",3,22/10/2021
Hong Kong Football Club L3C,v,Hong Kong Football Club L3B,Hong Kong Football Club,19:00,"3-1(3-0,3-0,3-1,0-3)",3,22/10/2021
Perrier Ladies,v,Hong Kong Football Club L3C,HK Squash Centre,19:00,"3-1(0-3,3-0,3-0,3-0)",4,29/10/2021
Hong Kong Football Club L3A,v,Hong Kong Cricket Club Rockettes,Hong Kong Football Club,19:00,"4-0(3-1,3-0,3-0,3-0)",4,29/10/2021
Hong Kong Football Club L3B,v,Friend Club Ladies,Hong Kong Football Club,19:00,"3-1(3-0,3-1,2-3,3-0)",4,29/10/2021
Friend Club Ladies,v,Hong Kong Football Club L3A,HK Squash Centre,19:00,"0-4(0-3,1-3,0-3,0-3)",5,05/11/2021
Hong Kong Football Club L3C,v,Hong Kong Cricket Club Rockettes,Hong Kong Football Club,19:00,"0-4(0-3,0-3,0-3,0-3)",5,05/11/2021
Perrier Ladies,v,Hong Kong Football Club L3B,HK Squash Centre,19:00,"2-2(0-3,0-3,3-1,3-0)",5,05/11/2021
Hong Kong Cricket Club Rockettes,v,Perrier Ladies,Hong Kong Cricket Club,19:00,"4-0(3-1,3-0,3-0,3-0)",6,12/11/2021
Friend Club Ladies,v,Hong Kong Football Club L3C,HK Squash Centre,19:00,"4-0(3-0,3-0,3-0,CR)",6,12/11/2021
Hong Kong Football Club L3B,v,Hong Kong Football Club L3A,Hong Kong Football Club,19:00,"2-2(3-2,0-3,0-3,3-0)",6,12/11/2021
Hong Kong Football Club L3C,v,Hong Kong Football Club L3A,Hong Kong Football Club,19:00,"2-2(2-3,3-0,2-3,CR)",7,19/11/2021
Perrier Ladies,v,Friend Club Ladies,HK Squash Centre,19:00,"1-3(1-3,0-3,2-3,3-2)",7,19/11/2021
Hong Kong Cricket Club Rockettes,v,Hong Kong Football Club L3B,Hong Kong Cricket Club,19:00,"4-0(3-0,3-0,3-0,3-0)",7,19/11/2021
Friend Club Ladies,v,Hong Kong Cricket Club Rockettes,HK Squash Centre,19:00,"0-4(1-3,0-3,0-3,0-3)",8,26/11/2021
Hong Kong Football Club L3A,v,Perrier Ladies,Hong Kong Football Club,19:00,"3-1(3-0,2-3,3-0,3-1)",8,26/11/2021
Hong Kong Football Club L3B,v,Hong Kong Football Club L3C,Hong Kong Football Club,19:00,"4-0(3-0,3-0,3-0,WO)",8,26/11/2021
Hong Kong Football Club L3C,v,Perrier Ladies,Hong Kong Football Club,19:00,"0-4(1-3,0-3,0-3,0-3)",9,03/12/2021
Hong Kong Cricket Club Rockettes,v,Hong Kong Football Club L3A,Hong Kong Cricket Club,19:00,"3-1(3-0,0-3,3-0,3-1)",9,03/12/2021
Friend Club Ladies,v,Hong Kong Football Club L3B,HK Squash Centre,19:00,"2-2(1-3,3-1,1-3,3-0)",9,03/12/2021
Hong Kong Football Club L3A,v,Friend Club Ladies,Hong Kong Football Club,19:00,"4-0(3-0,3-0,3-0,3-0)",10,10/12/2021
Hong Kong Cricket Club Rockettes,v,Hong Kong Football Club L3C,Hong Kong Cricket Club,19:00,"4-0(3-0,3-0,3-0,CR)",10,10/12/2021
Hong Kong Football Club L3B,v,Perrier Ladies,Hong Kong Football Club,19:00,"3-1(3-0,3-0,3-2,0-3)",10,10/12/2021
Perrier Ladies,v,Hong Kong Cricket Club Rockettes,HK Squash Centre,19:00,"0-4(2-3,0-3,0-3,1-3)",11,17/12/2021
Hong Kong Football Club L3C,v,Friend Club Ladies,Hong Kong Football Club,19:00,"1-3(3-0,1-3,0-3,0-3)",11,17/12/2021
