Team Name,Home,Average Home Score,Average Away Score,Difference
Friend Club 5,Cornwall Street Squash Centre,1.6666666666666667,0.5,1.1666666666666667
Hong Kong Cricket Club 4,Hong Kong Cricket Club,3.5,2.4,1.1
Friend Club 6,Cornwall Street Squash Centre,4.75,4.5,0.25
The Squash Club 2,Cornwall Street Squash Centre,2.0,1.75,0.25
Hong Kong Football Club 10,Hong Kong Football Club,2.25,2.5,-0.25
United Services Recreation Club 3,United Services Recreation Club,2.1666666666666665,2.6,-0.43333333333333357
The Hong Kong Jockey Club Div 10,HKJC Sha Tin Club House,2.3333333333333335,2.8,-0.46666666666666634
Old Squash Fellows,HK Squash Centre,1.25,1.8333333333333333,-0.5833333333333333
Ossan's Squash,Cornwall Street Squash Centre,2.6666666666666665,3.5,-0.8333333333333335
Social Squash Team,HK Squash Centre,2.4285714285714284,4.0,-1.5714285714285716
Twister 2,Cornwall Street Squash Centre,1.3333333333333333,3.0,-1.6666666666666667
