Team Name,Home,Average Home Score,Average Away Score,Difference
Hong Kong Football Club L3A,Hong Kong Football Club,3.6666666666666665,2.3333333333333335,1.333333333333333
Hong Kong Football Club L3B,Hong Kong Football Club,2.3333333333333335,1.3333333333333333,1.0000000000000002
Hong Kong Cricket Club Rockettes,Hong Kong Cricket Club,3.8,3.1666666666666665,0.6333333333333333
Hong Kong Football Club L3C,Hong Kong Football Club,0.5,0.3333333333333333,0.16666666666666669
Friend Club Ladies,HK Squash Centre,1.5,1.4,0.10000000000000009
Perrier Ladies,HK Squash Centre,1.4,1.5,-0.10000000000000009
