Team Name,Home,Average Home Score,Average Away Score,Difference
Physical Chess 1,Cornwall Street Squash Centre,4.666666666666667,3.25,1.416666666666667
United Services Recreation Club 2,United Services Recreation Club,3.2,2.1666666666666665,1.0333333333333337
Neptune,Cornwall Street Squash Centre,1.0,0.2,0.8
Fusion Squash Club 2,HK Squash Centre,3.6,3.0,0.6000000000000001
Friend Club 3,Cornwall Street Squash Centre,1.5,1.0,0.5
Twister 1,Cornwall Street Squash Centre,0.6666666666666666,0.6666666666666666,0.0
Hong Kong Football Club 7B,Hong Kong Football Club,3.75,3.8,-0.04999999999999982
Hong Kong Football Club 7A,Hong Kong Football Club,2.8,3.0,-0.20000000000000018
TNG 2,Cornwall Street Squash Centre,1.75,2.0,-0.25
i-Mask Advance Squash Club 2,Cornwall Street Squash Centre,2.0,3.5,-1.5
