Team Name,Home,Average Home Score,Average Away Score,Difference
RHKYC M4,Royal Hong Kong Yacht Club,2.1666666666666665,0.3333333333333333,1.8333333333333333
Bolton,Masters - HK Squash Centre,3.5,2.3333333333333335,1.1666666666666665
Alpha CUHK Master,Masters - Cornwall Street Squash Centre,2.0,1.0,1.0
The HK Club Blue,HK CLUB,2.0,1.0,1.0
The Hong Kong Jockey Club M4,HKJC Sha Tin Club House,3.857142857142857,3.0,0.8571428571428572
Perrier Sergio Tacchini KCC M4,Kowloon Cricket Club,3.4,2.75,0.6499999999999999
Hong Kong Football Club M4A,Hong Kong Football Club,2.5,2.25,0.25
Hong Kong Cricket Club M4,Hong Kong Cricket Club,2.8,2.75,0.04999999999999982
Phoenix,Masters - HK Squash Centre,3.6,3.6666666666666665,-0.06666666666666643
WAKO Masters,Masters - HK Squash Centre,3.6666666666666665,4.0,-0.3333333333333335
Hong Kong Football Club M4B,Hong Kong Football Club,1.0,1.5,-0.5
