Team Name,Home,Average Home Score,Average Away Score,Difference
PSC,HK Squash Centre,5.0,1.4,3.6
Hong Kong Football Club 16,Hong Kong Football Club,4.5,3.0,1.5
CSD,HK Squash Centre,0.75,0.0,0.75
Hong Kong Racketlon Association 2,HK Squash Centre,3.25,2.6666666666666665,0.5833333333333335
Latecomers,HK Squash Centre,1.5,1.0,0.5
Sha Tin Squash Rackets Club 5,Cornwall Street Squash Centre,3.0,2.6,0.3999999999999999
South China Athletic Association,HK Squash Centre,3.4,3.0,0.3999999999999999
Craigengower Cricket Club,Craigengower Cricket Club,1.1428571428571428,1.0,0.1428571428571428
Global Squash 2,Harbour Road Sports Centre,4.0,4.125,-0.125
Kinetic 4,HK Squash Centre,1.3333333333333333,1.6666666666666667,-0.3333333333333335
Winter Warriors,HK Squash Centre,3.0,3.75,-0.75
MASS,Cornwall Street Squash Centre,1.1666666666666667,2.3333333333333335,-1.1666666666666667
