Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Physical Chess 2,7,7,0,34,27,8,0,1,0,0
Hong Kong Football Club 7B,7,5,2,29,24,11,0,1,0,0
Hong Kong Football Club 7A,7,6,1,27,21,14,0,0,0,0
Thunder 1,8,5,3,26,21,19,0,3,0,0
Hong Kong Cricket Club D7A,7,4,3,24,20,15,0,1,0,1
UST,7,3,4,19,16,19,1,1,0,0
Hong Kong Cricket Club D7B,7,3,4,18,15,20,0,1,0,0
i-Mask Advance Squash Club 1,8,2,6,18,16,24,1,1,0,0
Xavier,7,2,5,17,15,20,7,0,0,0
Social Squash Team,7,2,5,15,13,22,1,0,0,0
Kinetic 1,8,1,7,12,12,28,0,1,1,0
