Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
i-Mask Advance Squash Club 5,7,7,0,34,27,8,0,0,0,0
GMDBB,6,6,0,27,21,9,0,0,0,0
The Zero Squash Club D11,6,4,2,25,21,9,0,0,0,0
Alpha CUHK,7,5,2,22,18,17,0,0,0,0
Electrify Squash Div 11,6,4,2,21,17,13,0,0,0,0
7NT,6,4,2,20,16,14,0,1,0,0
South China Athletic Association,7,3,4,19,16,19,0,0,0,0
ZOMA,7,2,5,18,16,19,0,0,0,0
Sea Bear,7,1,6,12,11,24,1,0,0,0
Tuen Mun Squash Club,6,1,5,10,9,21,0,0,0,0
Invader Squash,7,0,7,8,8,27,0,0,0,0
