Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
WAKO,8,6,2,32,26,14,0,0,0,0
Hong Kong Football Club M4A,8,6,2,31,25,15,0,0,0,0
SKCSC M4,8,5,3,28,23,17,0,0,0,0
Hong Kong Football Club M4B,8,5,3,27,22,18,0,0,0,0
Kowloon Cricket Club M4,8,4,4,25,21,19,0,0,0,0
Hong Kong Cricket Club M4,8,4,4,24,20,20,0,0,0,0
United Services Recreation Club M4,8,2,6,22,20,20,0,0,0,0
Hong Kong Club Blue,8,3,5,20,17,23,0,0,0,0
Royal Hong Kong Yacht Club M4,8,3,5,16,13,27,0,0,0,0
Bolton,8,2,6,15,13,27,0,0,0,0
