Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
North District Sports Association 2,8,8,0,40,32,8,0,6,0,0
Royal Hong Kong Yacht Club Div 14,8,6,2,36,30,10,0,0,0,0
The Squash Club 4,8,5,3,33,28,12,0,5,0,1
Physical Chess 5,8,5,3,29,24,16,0,0,0,0
8 Virtues + 1,8,4,4,25,22,18,2,1,1,5
RELAY 2,8,4,4,24,20,20,0,9,0,0
TKO Junior 1,8,4,4,23,19,21,0,0,0,0
Hong Kong Football Club 14,8,3,5,20,17,23,8,0,0,0
Squash-On,8,3,5,16,13,27,7,0,0,0
Ladies Recreation Club Div 14,8,2,6,16,15,25,3,0,1,1
TNG 3,8,4,4,15,17,23,1,0,4,0
Fusion Squash Club 4,8,0,8,2,3,37,0,0,1,0
