Team,Most Games,Most Wins,Highest Win Percentage
Hong Kong Cricket Club D7A,Ngo Joshua (12),"Aw Adrian, Bhandari Raghav, Ngo Joshua (6)",Lau Kwai Hong (83.3%)
Hong Kong Cricket Club D7B,"Freeman Neil, Dickson Robert (10)",Hathiramani Sahil Ajit (6),Hathiramani Sahil Ajit (85.7%)
Hong Kong Football Club 7A,Yeung Yurisa (12),Yeung Yurisa (9),Wong Yu San (100.0%)
Hong Kong Football Club 7B,Yeung Himmy Cheuk Him (14),"Yeung Himmy Cheuk Him, Li Samuel Kwok Sing (9)",Li Samuel Kwok Sing (100.0%)
Kinetic 1,Lin Charles Lan Kay (11),"Lin Charles Lan Kay, Gibert Kai Shaun Otto (5)",Gibert Kai Shaun Otto (62.5%)
Physical Chess 2,"Wong Wai Lap, Dai Kwun San Harry (10)",Wong Wai Lap (10),"Wong Wai Lap, Lee Darren Ching Him (100.0%)"
Social Squash Team,Catherine Loic (11),"Catherine Loic, Adjemian Nicolas (5)",Toernell Henrik (57.1%)
Thunder 1,"Wong Hui Sing, Siu Chen Dong (11)",Wong Hui Sing (7),Chan Hei Wai Henry (66.7%)
UST,Wong Chi Hang Frankie (7),"Wong Chi Hang Frankie, Chan Wan Fei (5)",Chan Wan Fei (83.3%)
Xavier,"Liu Chun Hin Heron, Tam Kai Chung Hades, Chan Keiko Tsun Ling, Chan Ping Him Kevin (13)","Liu Chun Hin Heron, Chan Keiko Tsun Ling (9)","Liu Chun Hin Heron, Chan Keiko Tsun Ling (69.2%)"
i-Mask Advance Squash Club 1,Li Chi Hei (13),Li Chi Hei (11),Leung Ka Long (100.0%)
