Team,Most Games,Most Wins,Highest Win Percentage
Bolton,"Wright Martin, Gollop Stephen (5)",Wright Martin (2),Wright Martin (40.0%)
Hong Kong Club Blue, (nan), (nan), (nan%)
Hong Kong Cricket Club M4,Bernard Edwin (6),Bernard Edwin (4),Bernard Edwin (66.7%)
Hong Kong Football Club M4A,"Chow Kar Wah, Murray David (5)",Murray David (4),Murray David (80.0%)
Hong Kong Football Club M4B,Dansanghani Rahul (5),Dansanghani Rahul (4),Dansanghani Rahul (80.0%)
Kowloon Cricket Club M4,Tsang Wai Kit Paul (5),Tsang Wai Kit Paul (2),Tsang Wai Kit Paul (40.0%)
Royal Hong Kong Yacht Club M4,"Leung Chi Wang Christopher, Oei Chuen Shek Joseph (5)",Oei Chuen Shek Joseph (2),Oei Chuen Shek Joseph (40.0%)
SKCSC M4,"Mong Hoi Ching Norman, Chan Kin Hung Kit (6)",Mong Hoi Ching Norman (4),Mong Hoi Ching Norman (66.7%)
United Services Recreation Club M4,"Lai Kwok Wai Wilfred, Yu Chi Keung (6)",Yam Ken Luen Kai (4),Yam Ken Luen Kai (80.0%)
WAKO,Mok Sui Kei (6),Mok Sui Kei (6),Mok Sui Kei (100.0%)
