Team,Most Games,Most Wins,Highest Win Percentage
Bravo D13, (nan), (nan), (nan%)
HKIS Div 13,Lin Elizabeth (5),Lin Elizabeth (3),Lin Elizabeth (60.0%)
JSA 1, (nan), (nan), (nan%)
NEXUS 3, (nan), (nan), (nan%)
Smart Squash 2, (nan), (nan), (nan%)
Smart Squash 3, (nan), (nan), (nan%)
Vitality Squash 2, (nan), (nan), (nan%)
i-Mask Advance Squash Club 6,"Au Pak Yin, Chu Nathan Yian Zhe (5)",Chu Nathan Yian Zhe (4),Chu Nathan Yian Zhe (80.0%)
i-Mask Advance Squash Club 7,Lau Sai Chak Elson (5),Lau Sai Chak Elson (4),Lau Sai Chak Elson (80.0%)
