Team,Most Games,Most Wins,Highest Win Percentage
BOSS,Wong Michael (6),"Ho Wai Ying, Wong Michael (1)",Ho Wai Ying (20.0%)
Centre Squash,Bedouillat Vincent (5),Bedouillat Vincent (2),Bedouillat Vincent (40.0%)
HKPF Squash Team,"Ko Toby Ho Yin, Leung Man Wah (6)",Ko Toby Ho Yin (4),Ko Toby Ho Yin (66.7%)
Hong Kong Football Club 9,"Kirpalani Shaun, Lee Lawrence Chi Hung (5)","Kirpalani Shaun, Lee Lawrence Chi Hung (4)","Kirpalani Shaun, Lee Lawrence Chi Hung (80.0%)"
Kinetic 3,Tang Keng Io (5),Tang Keng Io (0),Tang Keng Io (0.0%)
Kowloon Cricket Club 9,Osmund Ronnie (6),"Lee Wai Hang, Osmund Ronnie (4)",Lee Wai Hang (80.0%)
The Hong Kong Jockey Club Div 9,Lee Dennis Yuk Kai (6),Lee Dennis Yuk Kai (3),Lee Dennis Yuk Kai (50.0%)
The Squash Club 2,Poon Ho Kar James (6),Poon Ho Kar James (6),Poon Ho Kar James (100.0%)
Twister,Wong Ken Tat Tai (6),Wong Ken Tat Tai (3),Wong Ken Tat Tai (50.0%)
i-Mask Advance Squash Club 3,"Chan Ho Yu, Au Wai Lun, Mo Li Hung Calvin, Au Heung Ben (6)",Chan Ho Yu (4),Chan Ho Yu (66.7%)
