Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won,VenueType,Winner Rubber 1,Winner Rubber 2,Winner Rubber 3
Hong Kong Cricket Club M1A,Hong Kong Cricket Club M1B,Hong Kong Cricket Club,1,02/10/2025,3-0,"['3-0', '3-1', 'CR']",3,0,9,1,shared_home,Hong Kong Cricket Club M1A,Hong Kong Cricket Club M1A,
Hong Kong Football Club M1A,Hong Kong Football Club M1B,Hong Kong Football Club,1,02/10/2025,3-0,"['3-1', '3-1', '3-0']",3,0,9,2,shared_home,Hong Kong Football Club M1A,Hong Kong Football Club M1A,Hong Kong Football Club M1A
Hong Kong Cricket Club M1B,Hong Kong Football Club M1A,Hong Kong Cricket Club,2,09/10/2025,1-2,"['1-3', '3-0', 'CR']",1,2,4,6,home,Hong Kong Football Club M1A,Hong Kong Cricket Club M1B,
Squashathon M+,Hong Kong Cricket Club M1A,Masters - Cornwall Street Squash Centre,2,09/10/2025,0-3,"['0-3', '0-3', '2-3']",0,3,2,9,home,Hong Kong Cricket Club M1A,Hong Kong Cricket Club M1A,Hong Kong Cricket Club M1A
Hong Kong Football Club M1A,Squashathon M+,Hong Kong Football Club,3,16/10/2025,3-0,"['3-0', '3-1', '3-0']",3,0,9,1,home,Hong Kong Football Club M1A,Hong Kong Football Club M1A,Hong Kong Football Club M1A
Hong Kong Football Club M1B,Hong Kong Cricket Club M1B,Hong Kong Football Club,3,16/10/2025,2-1,"['3-1', '1-3', 'CR']",2,1,7,4,home,Hong Kong Football Club M1B,Hong Kong Cricket Club M1B,
Squashathon M+,Hong Kong Football Club M1B,Masters - Cornwall Street Squash Centre,4,23/10/2025,0-3,"['1-3', '0-3', '1-3']",0,3,2,9,home,Hong Kong Football Club M1B,Hong Kong Football Club M1B,Hong Kong Football Club M1B
Hong Kong Cricket Club M1A,Hong Kong Football Club M1A,Hong Kong Cricket Club,4,23/10/2025,1-2,"['3-2', '0-3', '0-3']",1,2,3,8,home,Hong Kong Cricket Club M1A,Hong Kong Football Club M1A,Hong Kong Football Club M1A
Hong Kong Football Club M1B,Hong Kong Cricket Club M1A,Hong Kong Football Club,5,30/10/2025,2-1,"['3-2', '2-3', '3-0']",2,1,8,5,home,Hong Kong Football Club M1B,Hong Kong Cricket Club M1A,Hong Kong Football Club M1B
Squashathon M+,Hong Kong Cricket Club M1B,Masters - Cornwall Street Squash Centre,5,30/10/2025,2-1,"['1-3', 'CR', 'CR']",2,1,7,3,home,Hong Kong Cricket Club M1B,,
Hong Kong Cricket Club M1B,Hong Kong Cricket Club M1A,Hong Kong Cricket Club,6,06/11/2025,2-1,"['2-3', '3-1', 'CR']",2,1,8,4,shared_home,Hong Kong Cricket Club M1A,Hong Kong Cricket Club M1B,
Hong Kong Football Club M1B,Hong Kong Football Club M1A,Hong Kong Football Club,6,06/11/2025,1-2,"['3-2', '2-3', '1-3']",1,2,6,8,shared_home,Hong Kong Football Club M1B,Hong Kong Football Club M1A,Hong Kong Football Club M1A
Hong Kong Football Club M1A,Hong Kong Cricket Club M1B,Hong Kong Football Club,7,13/11/2025,2-1,"['3-1', '0-3', '3-1']",2,1,6,5,home,Hong Kong Football Club M1A,Hong Kong Cricket Club M1B,Hong Kong Football Club M1A
Hong Kong Cricket Club M1A,Squashathon M+,Hong Kong Cricket Club,7,13/11/2025,3-0,"['3-1', '3-1', '3-0']",3,0,9,2,home,Hong Kong Cricket Club M1A,Hong Kong Cricket Club M1A,Hong Kong Cricket Club M1A
Squashathon M+,Hong Kong Football Club M1A,Masters - Cornwall Street Squash Centre,8,20/11/2025,0-3,"['0-3', '0-3', '1-3']",0,3,1,9,home,Hong Kong Football Club M1A,Hong Kong Football Club M1A,Hong Kong Football Club M1A
Hong Kong Cricket Club M1B,Hong Kong Football Club M1B,Hong Kong Cricket Club,8,20/11/2025,0-3,"['1-3', '0-3', '0-3']",0,3,1,9,home,Hong Kong Football Club M1B,Hong Kong Football Club M1B,Hong Kong Football Club M1B
Hong Kong Football Club M1B,Squashathon M+,Masters - HK Squash Centre,9,27/11/2025,3-0,"['3-0', '3-0', '3-0']",3,0,9,0,neutral,Hong Kong Football Club M1B,Hong Kong Football Club M1B,Hong Kong Football Club M1B
Hong Kong Football Club M1A,Hong Kong Cricket Club M1A,Masters - HK Squash Centre,9,27/11/2025,2-1,"['0-3', '3-2', '3-1']",2,1,6,6,neutral,Hong Kong Cricket Club M1A,Hong Kong Football Club M1A,Hong Kong Football Club M1A
