Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won,VenueType,Winner Rubber 1,Winner Rubber 2,Winner Rubber 3,Winner Rubber 4,Winner Rubber 5
i-Mask Advance Squash Club 1,Physical Chess 2,Cornwall Street Squash Centre,6,19/11/2025,1-4,"['3-1', '0-3', '1-3', '0-3', '0-3']",1,4,4,13,shared_home,i-Mask Advance Squash Club 1,Physical Chess 2,Physical Chess 2,Physical Chess 2,Physical Chess 2
UST,Kinetic 1,Cornwall Street Squash Centre,6,19/11/2025,4-1,"['3-2', '3-0', '3-2', '0-3', '3-0']",4,1,12,7,home,UST,UST,UST,Kinetic 1,UST
Social Squash Team,Thunder 1,HK Squash Centre,6,19/11/2025,1-4,"['3-1', '0-3', '2-3', '0-3', 'CR']",1,4,5,13,home,Social Squash Team,Thunder 1,Thunder 1,Thunder 1,
Hong Kong Cricket Club D7A,Hong Kong Football Club 7A,Hong Kong Cricket Club,6,19/11/2025,2-3,"['3-0', '1-3', '1-3', '3-0', '1-3']",2,3,9,9,home,Hong Kong Cricket Club D7A,Hong Kong Football Club 7A,Hong Kong Football Club 7A,Hong Kong Cricket Club D7A,Hong Kong Football Club 7A
Thunder 1,Hong Kong Cricket Club D7A,Cornwall Street Squash Centre,7,26/11/2025,0-5,"['0-3', '2-3', '2-3', '0-3', '1-3']",0,5,5,15,home,Hong Kong Cricket Club D7A,Hong Kong Cricket Club D7A,Hong Kong Cricket Club D7A,Hong Kong Cricket Club D7A,Hong Kong Cricket Club D7A
Kinetic 1,Social Squash Team,HK Squash Centre,7,26/11/2025,2-3,"['2-3', '3-1', '1-3', '0-3', '3-1']",2,3,9,11,shared_home,Social Squash Team,Kinetic 1,Social Squash Team,Social Squash Team,Kinetic 1
Physical Chess 2,UST,Cornwall Street Squash Centre,7,26/11/2025,5-0,"['3-1', '3-2', '3-0', '3-0', '3-0']",5,0,15,3,shared_home,Physical Chess 2,Physical Chess 2,Physical Chess 2,Physical Chess 2,Physical Chess 2
Xavier,i-Mask Advance Squash Club 1,Cornwall Street Squash Centre,7,26/11/2025,3-2,"['3-2', '0-3', '3-2', '3-1', 'CR']",3,2,12,8,shared_home,Xavier,i-Mask Advance Squash Club 1,Xavier,Xavier,
Hong Kong Cricket Club D7B,Hong Kong Football Club 7B,Hong Kong Cricket Club,7,26/11/2025,1-4,"['1-3', '0-3', '0-3', '0-3', '3-2']",1,4,4,14,home,Hong Kong Football Club 7B,Hong Kong Football Club 7B,Hong Kong Football Club 7B,Hong Kong Football Club 7B,Hong Kong Cricket Club D7B
i-Mask Advance Squash Club 1,Hong Kong Football Club 7B,Cornwall Street Squash Centre,8,10/12/2025,1-4,"['3-1', '1-3', '0-3', '0-3', '1-3']",1,4,5,13,home,i-Mask Advance Squash Club 1,Hong Kong Football Club 7B,Hong Kong Football Club 7B,Hong Kong Football Club 7B,Hong Kong Football Club 7B
UST,Xavier,Cornwall Street Squash Centre,8,10/12/2025,3-2,"['0-3', '3-0', '3-2', '2-3', 'CR']",3,2,11,8,shared_home,Xavier,UST,UST,Xavier,
Social Squash Team,Physical Chess 2,HK Squash Centre,8,10/12/2025,1-4,"['2-3', '2-3', '1-3', '3-1', '0-3']",1,4,8,13,home,Physical Chess 2,Physical Chess 2,Physical Chess 2,Social Squash Team,Physical Chess 2
Hong Kong Cricket Club D7A,Kinetic 1,Hong Kong Cricket Club,8,10/12/2025,2-3,"['1-3', '3-0', '0-3', '0-3', 'WO']",2,3,4,12,home,Kinetic 1,Hong Kong Cricket Club D7A,Kinetic 1,Kinetic 1,
Hong Kong Football Club 7A,Thunder 1,Hong Kong Football Club,8,10/12/2025,3-2,"['3-2', '1-3', '3-1', '2-3', '3-0']",3,2,12,9,home,Hong Kong Football Club 7A,Thunder 1,Hong Kong Football Club 7A,Thunder 1,Hong Kong Football Club 7A
Kinetic 1,Hong Kong Football Club 7A,HK Squash Centre,9,17/12/2025,1-4,"['0-3', '3-0', '0-3', '0-3', 'CR']",1,4,3,12,home,Hong Kong Football Club 7A,Kinetic 1,Hong Kong Football Club 7A,Hong Kong Football Club 7A,
Physical Chess 2,Hong Kong Cricket Club D7A,Cornwall Street Squash Centre,9,17/12/2025,4-1,"['3-0', '3-0', '3-0', '2-3', 'CR']",4,1,14,3,home,Physical Chess 2,Physical Chess 2,Physical Chess 2,Hong Kong Cricket Club D7A,
Xavier,Social Squash Team,Cornwall Street Squash Centre,9,17/12/2025,2-3,"['3-1', '2-3', '3-2', '1-3', '0-3']",2,3,9,12,home,Xavier,Social Squash Team,Xavier,Social Squash Team,Social Squash Team
Hong Kong Football Club 7B,UST,Hong Kong Football Club,9,17/12/2025,2-3,"['2-3', '1-3', '0-3', '3-1', '3-0']",2,3,9,10,home,UST,UST,UST,Hong Kong Football Club 7B,Hong Kong Football Club 7B
Hong Kong Cricket Club D7B,i-Mask Advance Squash Club 1,Hong Kong Cricket Club,9,17/12/2025,2-3,"['0-3', '2-3', '3-2', '1-3', '3-0']",2,3,9,11,home,i-Mask Advance Squash Club 1,i-Mask Advance Squash Club 1,Hong Kong Cricket Club D7B,i-Mask Advance Squash Club 1,Hong Kong Cricket Club D7B
