Team,Played,Won,Lost,Points
Hong Kong Cricket Club M3,2,2,0,11
Hong Kong Football Club M3B,2,2,0,10
Hong Kong Football Club M3A,2,1,1,7
Kowloon Cricket Club M3,1,1,0,5
OSF,2,0,2,2
Royal Hong Kong Yacht Club M3,1,0,1,1
Titlows Squash Master,2,0,2,0
