Team,Played,Won,Lost,Points
Hong Kong Football Club 1A,2,2,0,8
Hong Kong Cricket Club D1,2,2,0,6
Kowloon Cricket Club 1A,2,1,1,4
Hong Kong Football Club 1B,2,1,1,4
Kowloon Cricket Club 1B,2,0,2,1
FWD,2,0,2,1
